route,relatedRoute,check,expected,actual,severity,status,details
/bueroumzug-schweinfurt,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-seubersdorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-simbach-am-inn,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-sinzing,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-starnberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-steinberg-am-see,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-straubing,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-suenching,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-sulzbach-rosenberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-tegernheim,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-teublitz,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-thalmassing,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-tirschenreuth,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-unterhaching,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-velburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-viechtach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-vilsbiburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-vilseck,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-vilshofen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-vohburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-vohenstrauss,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-wackersdorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-waldkirchen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-waldmuenchen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-weiden,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-weilheim-in-oberbayern,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-wendelstein,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-wenzenbach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-wernberg-koeblitz,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-wiesent,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-windischeschenbach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-woerth-an-der-donau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-wolfsegg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-wolnzach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-zeitlarn,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-zirndorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-zwiesel,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/clean-start,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/damen-team,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/duesseldorf/luxusreinigung,/duesseldorf/reinigung,SPECIALIST_WITHOUT_HUB_LINK,link from /duesseldorf/reinigung,missing,REVIEW,FAIL,
/einlagerung,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/einsatzradar-regensburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/empfehlen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/en,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/en/regensburg/apartment-cleaning,/en/services,SPECIALIST_WITHOUT_HUB_LINK,link from /en/services,missing,REVIEW,FAIL,
/en/regensburg/furniture-transport,/en/services,SPECIALIST_WITHOUT_HUB_LINK,link from /en/services,missing,REVIEW,FAIL,
/en/regensburg/moving-company,/en/services,SPECIALIST_WITHOUT_HUB_LINK,link from /en/services,missing,REVIEW,FAIL,
/en/regensburg/moving-costs,/en/services,SPECIALIST_WITHOUT_HUB_LINK,link from /en/services,missing,REVIEW,FAIL,
/en/regensburg/moving-quote-review,/en/services,SPECIALIST_WITHOUT_HUB_LINK,link from /en/services,missing,REVIEW,FAIL,
/en/regensburg/transport-service,/en/services,SPECIALIST_WITHOUT_HUB_LINK,link from /en/services,missing,REVIEW,FAIL,
/entruempelung,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-abensberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-altdorf-bei-nuernberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-alteglofsheim,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-altenthann,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-amberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-ansbach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-auerbach-in-der-oberpfalz,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-aufhausen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-augsburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-bad-abbach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-bad-koetzting,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-bad-toelz,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-bamberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/entruempelung-barbing,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
